complete_address,latitude,longitude,oev_erreichb_ewap
"Delfterstr. 25,5004 Aarau",47.39999008178711,8.060616493225098,4454
"General Guisan-Str. 52,5000 Aarau",47.37805938720703,8.057112693786621,4842
"Hintere Bahnhofstrasse 81,5000 Aarau",47.391685485839844,8.055814743041992,12184
"Entfelderstr. 2/4,5000 Aarau",47.38876724243164,8.048471450805664,9969
"General Guisan-Str. 52,5000 Aarau",47.37805938720703,8.057112693786621,4842
"Gönhardweg 4,5000 Aarau",47.38771438598633,8.050259590148926,6504
"Vordere Vorstadt 13,5000 Aarau",47.39118576049805,8.044936180114746,19339
"Dammweg 5,5000 Aarau",47.38752365112305,8.038883209228516,6090
"Im Käfergrund 43,5000 Aarau",47.37909698486328,8.05553913116455,4842
"Im Käfergrund 41,5000 Aarau",47.379241943359375,8.055534362792969,4842
"General Guisan-Str. 52,5000 Aarau",47.37805938720703,8.057112693786621,4842
"Rütmattstr. 9,5004 Aarau",47.40047073364258,8.058938980102539,4454
"Kronengasse 5,5000 Aarau",47.39297866821289,8.044032096862793,17411
"Buchserstrasse 9/11,5000 Aarau",47.39152145385742,8.059191703796387,13329
"Küttigerstrasse 16,5000 Aarau",47.397342681884766,8.040865898132324,2816
"Gönhardweg 2,5000 Aarau",47.38783264160156,8.05016040802002,6504
"Tannengut 6,5000 Aarau",47.40037155151367,8.041600227355957,2816
"Delfterstrasse 15a,5000 Aarau",47.39741516113281,8.061342239379883,3828
"Hintere Bahnhofstrasse 83,5000 Aarau",47.3917236328125,8.05617618560791,12184
"Im Ifang 2,5000 Aarau",47.38742446899414,8.037616729736328,6090
"Rütmattstrasse 11,5004 Aarau",47.40074157714844,8.058854103088379,4454
"Hintere Bahnhofstrasse 48,5000 Aarau",47.391075134277344,8.052728652954102,12184
"Delfterstr. 25,5004 Aarau",47.39999008178711,8.060616493225098,4454
"Delfterstr. 39,5004 Aarau",47.40238952636719,8.061711311340332,4454
"Küttigerstrasse 6,5000 Aarau",47.396453857421875,8.041365623474121,2816
"Delfterstr. 28,5004 Aarau",47.40050506591797,8.060701370239258,4454
"Rütmattstrasse 15,5004 Aarau",47.401363372802734,8.059009552001953,4454
"Bühlrain 29,5000 Aarau",47.38104248046875,8.05661392211914,4842
"Hohlgasse 64,5000 Aarau",47.383934020996094,8.049116134643555,9969
"Hohlgasse 60,5000 Aarau",47.38417053222656,8.048873901367188,9969
"Buchserstrasse 4,5000 Aarau",47.391456604003906,8.05770206451416,13329
"Gysulastrasse 1,5000 Aarau",47.39710998535156,8.041149139404297,2816
"Wöschnauring 23,5000 Aarau",47.38427734375,8.031475067138672,6090
"Girixweg 17,5000 Aarau",47.39865493774414,8.057182312011719,10822
"Bahnhofplatz 2,5000 Aarau",47.3917236328125,8.050493240356445,19172
"Bahnhofplatz 2,5000 Aarau",47.3917236328125,8.050493240356445,19172
"Bahnhofplatz 2,5000 Aarau",47.3917236328125,8.050493240356445,19172
"Laurenzentorgasse 12,5000 Aarau",47.39323806762695,8.045144081115723,17411
"Dammweg 25,5000 Aarau",47.38655471801758,8.038012504577637,6090
"Zollrain 6,5000 Aarau",47.39344024658203,8.043628692626953,17411
"Pelzgasse 25,5000 Aarau",47.392425537109375,8.044650077819824,17411
"kronegasse 6,5000 Aarau",47.389312744140625,8.063394546508789,13329
"Rombach,5000 Aarau",47.401268005371094,8.04075813293457,2816
"Sierenzerstrasse 38,4055 Basel",47.55973434448242,7.569081783294678,16533
"Unterer Heuberg 15,4051 Basel",47.55628967285156,7.587189674377441,22914
"Weiherweg 38,4054 Basel",47.55381393432617,7.576185703277588,16632
"Unterer Heuberg 15,4051 Basel",47.55628967285156,7.587189674377441,22914
"Erlenmattstr. 67,4058 Basel",47.57019805908203,7.602593421936035,47725
"Hochstrasse 16,4053 Basel",47.54518127441406,7.5926618576049805,30418
"Erlenmattstr. 83,4058 Basel",47.56977462768555,7.60345458984375,47725
"Erlenmattstr. 75,4058 Basel",47.57048797607422,7.603235244750977,47725
"Redingstrasse 10,4052 Basel",47.546512603759766,7.619871616363525,7517
"Gerbergasse 70,4001 Basel",47.55539321899414,7.588754177093506,22914
"Adlerstrasse 36,4052 Basel",47.54669189453125,7.610193729400635,5496
"Margarethenstrasse 59,4053 Basel",47.54594039916992,7.583693504333496,53226
"Blochmonterstr. 4,4054 Basel",47.54738998413086,7.574863433837891,5188
"Paracelsusstrasse 65,4058 Basel",47.56605529785156,7.6113200187683105,19573
"Schorenweg 36,4058 Basel",47.571434020996094,7.6116461753845215,18866
"Erlenmattstr. 73,4058 Basel",47.57048416137695,7.602883338928223,47725
"Adlerstrasse 32,4052 Basel",47.546974182128906,7.609964847564697,5496
"Rheinfelderstrasse 1,4058 Basel",47.560848236083984,7.598680019378662,10258
"Rheinfelderstrasse 3,4058 Basel",47.5607795715332,7.598718166351318,10258
"Blochmonterstr. 4,4054 Basel",47.54738998413086,7.574863433837891,5188
"Gellertstrasse 2a,4052 Basel",47.55222702026367,7.605301380157471,8476
"Amerbachstrasse 66,4057 Basel",47.56918716430664,7.5941877365112305,21856
"Amerbachstrasse 64,4057 Basel",47.56895065307617,7.5939741134643555,21856
"Gellertpark 4,4052 Basel",47.552398681640625,7.608813285827637,8273
"Laufenstrasse 4,4053 Basel",47.54266357421875,7.600114345550537,10524
"Adlerstrasse 32,4052 Basel",47.546974182128906,7.609964847564697,5496
"Teichgässlein 9,4053 Basel",47.5620231628418,7.592433929443359,18872
"Mittlere Strasse 8,4056 Basel",47.56061935424805,7.579432487487793,14255
